strategy_id,strategy_name,category,strategy_type,primary_indicator,warmup_bars,entry_condition_summary,primary_exit_logic,has_primary_exit,stop_loss_atr_multiple,take_profit_atr_multiple,max_bars_held,auto_close_time,key_entry_parameters,additional_indicators,requires_trend_filter,complexity,typical_hold_period,notes
40,Buy on 5 Bar Low Strategy,Botnet101,Mean Reversion,Price Action,5,"Enter when close < lowest low of previous 5 bars, indicating potential oversold reversal",Exit when close > high[1] showing price strength,True,1.0,1.0,20,4pm EST,lookback=5,Lowest(5),False,Simple,Short-term,"Simple mean reversion on 5-bar lows. Works on any timeframe. High frequency of signals in volatile markets. Best for stocks/ETFs/futures."
41,3-Bar Low Strategy,Botnet101,Mean Reversion,Price Action,7,"Enter when close < lowest low of previous 3 bars, with optional EMA filter",Exit when close > highest high of previous 7 bars,True,1.0,1.0,20,4pm EST,"lookback_entry=3, lookback_exit=7, ma_period=20, ma_type=SMA","Lowest(3), Highest(7), Optional EMA filter",False,Simple,Short-term,"Faster signals than 5-bar low. Asymmetric entry/exit windows (3 bars in, 7 bars out). Works on any timeframe from intraday to daily."
42,Gap Down Reversal Strategy,Botnet101,Gap Reversal,Price Action,2,"Enter when: 1) previous bar bearish, 2) current open < prior low (gap down), 3) current close > open (bullish reversal)",Exit when close > highest high of previous 7 bars,True,1.0,1.0,20,4pm EST,exit_lookback=7,Highest(7),False,Simple,Short-term,"Capitalizes on gap down exhaustion. Requires true gap below prior low. Best on timeframes with gaps (daily, 1HR+). Works in high volatility."
43,SPY/TLT Strategy,Botnet101,Trend Following,SMA,20,"Enter when security (TLT default) crosses above its SMA, indicating trend reversal to uptrend",Exit when security crosses below its SMA,True,1.0,1.0,20,4pm EST,"sma_period=20, security=TLT",None,False,Simple,Medium-term,"Rotation strategy between equities (SPY) and bonds (TLT). Trend-following crossover. Works on any timeframe. Best in trending markets. NOT optimized per author."
44,Turn of the Month Strategy on Steroids,Botnet101,Seasonal/Calendar,RSI,200,"Enter when day of month >= threshold (default 25) AND close < close[1], exploiting turn-of-month effect",Exit when RSI > overbought threshold (default 65),True,1.0,1.0,20,4pm EST,"day_threshold=25, rsi_period=14, rsi_overbought=65",RSI(14),False,Simple,Short-term,"Exploits calendar anomaly - stocks tend to rise end of month. Mean reversion entry with RSI exit. Requires daily bars for calendar tracking."
45,Bollinger Bands Reversal + IBS Strategy,Botnet101,Mean Reversion,Bollinger Bands,20,"Enter when close < lower Bollinger Band (2σ) AND IBS indicates oversold conditions",Exit when IBS > 0.8 indicating overbought,True,1.0,1.0,20,4pm EST,"bb_period=20, bb_mult=2.0, ibs_buy_threshold=0.2, ibs_sell_threshold=0.8","IBS, SMA(20)",False,Medium,Short-term,"Combines volatility (BB) with intrabar strength (IBS) for double confirmation. Exits on IBS overbought. Best in mean-reverting markets. Timeframe agnostic."
46,Internal Bar Strength (IBS) Strategy,Botnet101,Mean Reversion,IBS,1,"Enter when IBS < threshold (default 0.2), meaning close near bar's low",Exit when IBS > threshold (default 0.8),True,1.0,1.0,20,4pm EST,"ibs_buy_threshold=0.2, ibs_sell_threshold=0.8",None,False,Simple,Short-term,"Pure IBS mean reversion. IBS = (close-low)/(high-low). Simple calculation, no warmup needed. Best in ranging markets. Works on any timeframe."
47,4 Bar Momentum Reversal Strategy,Botnet101,Mean Reversion,Price Action,4,"Enter when close < reference close (N bars ago) for at least N consecutive bars, indicating sustained bearish move",Exit when close > high[1] confirming reversal,True,1.0,1.0,20,4pm EST,"buy_threshold=4, lookback=4",Reference close calculation,False,Medium,Short-term,"Momentum exhaustion strategy. Requires sustained selling before entry. Reference close lookback customizable. Works on any timeframe from intraday to daily."
48,Consecutive Bearish Candle Strategy,Botnet101,Mean Reversion,Price Action,3,"Enter after N consecutive bars where close[i] < close[i-1] (default 3), identifying momentum exhaustion",Exit when close > high[1],True,1.0,1.0,20,4pm EST,consecutive_lookback=3,None,False,Simple,Short-term,"Simple consecutive down bar counter. More flexible than 4-bar momentum. Timeframe agnostic. Best in volatile markets with frequent swings."
49,Consecutive Bars Above/Below EMA Buy the Dip Strategy,Botnet101,Mean Reversion,Moving Average,5,"Enter when close remains below selected MA (SMA or EMA) for N consecutive bars (default 3), identifying dip",Exit when close > high[1],True,1.0,1.0,20,4pm EST,"consecutive_bars_threshold=3, ma_type=SMA, ma_length=5","SMA or EMA (selectable)",False,Simple,Short-term,"MA-based dip buying. Customizable MA type and length. Counts consecutive bars below MA. Works on any timeframe when price oscillates around short-term MA."
50,Average High-Low Range + IBS Reversal Strategy,Botnet101,Mean Reversion,Average Range,20,"Enter when: 1) close below (upper - 2.5×avg_HL_range) for N bars (default 2), 2) IBS < threshold (default 0.2)",Exit when close > high[1],True,1.0,1.0,20,4pm EST,"length=20, bars_below_threshold=2, ibs_buy_threshold=0.2","IBS, SMA of (high-low)",False,Medium,Short-term,"Combines volatility measure (avg high-low range) with IBS. Avg_HL = SMA(high-low, 20). Identifies extreme deviations. Works on any timeframe."
51,3 Down 3 Up Strategy,Botnet101,Mean Reversion,Price Action,3,"Enter after N consecutive down closes (default 3), with optional 200 EMA filter",Exit after N consecutive up closes (default 3),True,1.0,1.0,20,4pm EST,"consecutive_down_entry=3, consecutive_up_exit=3, ema_period=200, ema_filter=false","Optional EMA(200) filter",False,Simple,Short-term,"Symmetric entry/exit logic. Simple consecutive close counter. Optional trend filter improves reliability. Works on any timeframe. Best in oscillating/volatile markets. NOT optimized."
52,Consecutive Close<Low[1] Mean Reversion,Botnet101,Mean Reversion,Price Action,3,"Enter when consecutive bars of close < low[1] reaches threshold (default 3), indicating overextended bearish move",Exit when close > high[1],True,1.0,1.0,20,4pm EST,"threshold=3, ema_period=200, ema_filter=optional",Optional EMA(200) filter,False,Medium,Short-term,"Contrarian strategy for overextended bearish moves. Counts aggressive down bars where each close breaks prior low. Works on any timeframe from intraday to daily."
53,ATR Buy the Dip Mean Reversion,Botnet101,Mean Reversion,ATR,20,"Enter when close < smoothed ATR lower trigger (close - ATR×multiplier smoothed), indicating oversold",Exit when close > high[1],True,1.0,1.0,20,4pm EST,"atr_period=20, atr_multiplier=1.0, smoothing_period=10, ema_filter=optional","ATR(20), SMA smoothing, Optional EMA(200)",False,Medium,Short-term,"ATR-based oversold detection. Dynamic lower threshold = SMA(close - ATR×mult, smooth_period). Enters on extreme dips below volatility-adjusted level. Timeframe agnostic."
54,Internal Bar Strength (IBS) Extreme Oversold,Botnet101,Mean Reversion,IBS,1,"Enter when IBS <= 0.1 (close near bar's low), indicating extreme oversold",Exit when IBS >= 0.7,True,1.0,1.0,20,4pm EST,"ibs_entry_threshold=0.1, ibs_exit_threshold=0.7",None,False,Simple,Short-term,"More extreme version of IBS strategy #46. Uses lower threshold (0.1 vs 0.2) for fewer but higher-conviction signals. Works on any timeframe for stocks/ETFs/futures."
55,10 Bar High Breakout with Low IBS,Botnet101,Breakout,Price Action,10,"Enter when: 1) high > highest(high, 10) breaking out to new high, 2) low IBS (default <= 0.15) for pullback confirmation",Exit when close > high[1],True,1.0,1.0,20,4pm EST,"lookback_period=10, ibs_threshold=0.15, ema_filter=optional","IBS, Highest(10), Optional EMA(200)",False,Medium,Medium-term,"Breakout strategy with pullback confirmation. New 10-bar high with low IBS suggests consolidation before breakout. Combines momentum with mean reversion filter. Works on any timeframe."
