strategy_id,strategy_name,category,source,entry_logic_summary,primary_exit_logic,stop_loss_atr_multiple,take_profit_atr_multiple,max_bars_held,auto_close_time,key_parameters,warmup_period,complexity_rating,implementation_notes
1,Overlay Bands (Bollinger Bands),Mean Reversion,TradingView Built-in,"Enter when price closes below lower Bollinger Band (20,2). Exit when price closes above middle band","Close when price closes above middle band",1.0,1.0,20,4pm EST,"bb_length: 20, bb_stddev: 2.0",50,Low,Simple and well-known indicator. Multiple entry signals over time. Consider using position size = volatility-adjusted.
2,Overlay Bands Moving Average,Mean Reversion,TradingView Built-in,"Enter when price is below SMA(50) and crosses above SMA(10). Close SMA(10) < SMA(50)","Close when SMA(10) < SMA(50)",1.0,1.0,20,4pm EST,"fast_ma: 10, slow_ma: 50",60,Low,Double SMA strategy. Frequent signals with clear logic. Should work well with entry+exit optimization.
3,Overlay Parabolic SAR,Trend Following,TradingView Built-in,"Enter when SAR flips from above price to below price (bullish signal). Exit when SAR flips back","Exit when SAR flips from below to above price",1.0,1.0,20,4pm EST,"sar_start: 0.02, sar_increment: 0.02, sar_max: 0.2",30,Low,Tracks trends with trailing stop behavior. May give late entries. Works best in trending markets.
4,Overlay Supertrend,Trend Following,TradingView Built-in,"Enter when Supertrend flips bullish (green). Exit when it flips bearish","Exit when Supertrend flips bearish",1.0,1.0,20,4pm EST,"st_length: 10, st_multiplier: 3.0",30,Low,ATR-based trend indicator. Similar to SAR but with customizable sensitivity via multiplier.
5,Momentum Strategy,Momentum,TradingView Built-in,"Enter when MOM(10) crosses above 0. Exit when MOM(10) crosses below 0","Exit when MOM(10) crosses below 0",1.0,1.0,20,4pm EST,mom_length: 10,20,Low,Rate-of-change indicator. May be choppy in sideways markets. Best during trending periods.
6,Volume Weighted MACD,Momentum,TradingView Built-in,"Enter when VWAP-weighted MACD crosses above signal. Exit when it crosses below","Exit when MACD crosses below signal line",1.0,1.0,20,4pm EST,"vwmacd_fast: 12, vwmacd_slow: 26, vwmacd_signal: 9",50,Medium,Combines volume and momentum. Requires volume data. More responsive to volume-driven moves.
7,Volatility Strategy,Breakout,TradingView Built-in,Enter when ATR(14) increases above threshold and price breaks high. Exit when ATR falls,Exit when ATR falls below threshold,1.0,1.0,20,4pm EST,"atr_length: 14, atr_threshold: 1.5",30,Low,Volatility expansion strategy. Look for breakouts during high volatility. May give false signals in chop.
8,CMO Strategy,Momentum,TradingView Built-in,"Enter when CMO(14) crosses above -50 (bullish). Exit when crosses below 50","Exit when CMO(14) crosses below 50",1.0,1.0,20,4pm EST,"cmo_length: 14, cmo_oversold: -50, cmo_overbought: 50",30,Low,Chande Momentum Oscillator. Similar to RSI but using different math. May give earlier signals.
9,Connors RSI,Mean Reversion,TradingView Built-in,"Enter when CRSI < 10 (extreme oversold). Exit when CRSI > 75","Exit when CRSI > 75 (overbought)",1.0,1.0,20,4pm EST,"crsi_length: 3, rsi_length: 2, streak_length: 2",10,Medium,Uses 3 components: RSI(3), RSI of ROC, up/down streak. Very responsive. May give many signals.
10,Psychological Line,Mean Reversion,TradingView Built-in,Enter when psychological line (% up days in N periods) < 25%. Exit when > 75%,Exit when psychological line > 75%,1.0,1.0,20,4pm EST,"psych_length: 12, psych_oversold: 25, psych_overbought: 75",20,Low,Tracks percentage of up days. Simple but effective mean reversion indicator.
11,WaveTrend Strategy,Momentum,TradingView Built-in,"Enter when WT crosses above oversold level (-60). Exit when crosses below overbought (53)","Exit when WT crosses below 53",1.0,1.0,20,4pm EST,"wt_channel_length: 10, wt_average_length: 21, wt_oversold: -60, wt_overbought: 53",40,Medium,Oscillator based on momentum and EMA. Good for finding extremes. Can lag in fast markets.
12,Know Sure Thing,Momentum,TradingView Built-in,"Enter when KST crosses above signal line. Exit when crosses below","Exit when KST crosses below signal",1.0,1.0,20,4pm EST,"kst_roc1: 10, kst_roc2: 15, kst_roc3: 20, kst_roc4: 30, kst_sma1: 10, kst_sma2: 10, kst_sma3: 10, kst_sma4: 15, kst_signal: 9",50,High,Complex momentum indicator using 4 ROC periods. Smoothed and summed. Very comprehensive.
13,Volume Indicator Strategy,Volume,TradingView Built-in,"Enter when volume > 1.5x average and price up. Exit when volume < average","Exit when volume < average",1.0,1.0,20,4pm EST,"vol_length: 20, vol_threshold: 1.5",30,Low,Volume confirmation strategy. Simple volume spike detection. Needs volume data.
14,Price Volume Trend,Volume,TradingView Built-in,"Enter when PVT crosses above SMA(PVT, 10). Exit when crosses below","Exit when PVT crosses below SMA",1.0,1.0,20,4pm EST,"pvt_length: 21, pvt_signal: 10",40,Medium,Cumulative volume indicator weighted by price change. Like OBV but with price % change.
15,Price Channel Strategy,Breakout,TradingView Built-in,"Enter when price breaks above upper channel (highest high N bars). Exit when breaks below lower","Exit when price breaks below lower channel",1.0,1.0,20,4pm EST,"channel_length: 20, channel_breakout_pct: 0.5",30,Low,Donchian Channel breakout. Classic breakout strategy. May whipsaw in range-bound markets.
16,Envelope Indicator Strategy,Mean Reversion,TradingView Built-in,"Enter when price touches lower envelope (SMA ± X%). Exit at middle band","Exit at SMA middle band",1.0,1.0,20,4pm EST,"env_length: 20, env_percentage: 2.5",30,Low,Like Bollinger Bands but uses fixed % instead of standard deviation. Simpler calculation.
17,MA Cross,Trend Following,TradingView Built-in,"Enter when fast MA(10) crosses above slow MA(50). Exit on opposite cross","Exit when fast MA crosses below slow MA",1.0,1.0,20,4pm EST,"ma_fast: 10, ma_slow: 50, ma_type: SMA",60,Low,Classic dual moving average crossover. Many parameters to optimize. Well-studied approach.
18,Triple MA Strategy,Trend Following,TradingView Built-in,"Enter when fast(5) > medium(10) > slow(20), confirming trend. Exit when order breaks","Exit when MA order breaks",1.0,1.0,20,4pm EST,"ma_fast: 5, ma_medium: 10, ma_slow: 20",30,Low,Three moving averages for stronger trend confirmation. More conservative entries.
19,MACD Strategy,Momentum,TradingView Built-in,"Enter when MACD crosses above signal line. Exit when crosses below","Exit when MACD crosses below signal",1.0,1.0,20,4pm EST,"macd_fast: 12, macd_slow: 26, macd_signal: 9",40,Low,Most popular momentum indicator. Many false signals in ranging markets.
20,Parabolic SAR Strategy,Trend Following,TradingView Built-in,"Enter on SAR flip to bullish. Exit on flip to bearish","Exit on SAR flip to bearish",1.0,1.0,20,4pm EST,"sar_start: 0.02, sar_increment: 0.02, sar_max: 0.2",30,Low,Duplicate of #3. Can remove or modify to test different parameters.
21,RSI(2) Mean Reversion,Mean Reversion,Botnet101,"Enter when RSI(2) < 10. Exit when RSI(2) > 65","Exit when RSI(2) > 65",1.0,1.0,20,4pm EST,"rsi_length: 2, rsi_oversold: 10, rsi_overbought: 65",10,Low,Very short-term RSI. Larry Connors style. Gives frequent signals. Works well on liquid instruments.
22,Support Resistance Breakout,Breakout,Botnet101,"Enter when price breaks above recent swing high with volume confirmation. Exit at next resistance","Exit at resistance or fixed target",1.0,1.0,20,4pm EST,"swing_lookback: 20, volume_threshold: 1.3",30,Medium,Identifies swing highs/lows. Breakout with volume. Requires swing detection logic.
23,Gap Fill Strategy,Mean Reversion,Botnet101,"Enter when gap > 1% at open, expecting reversion. Exit when gap 50% filled","Exit when gap 50% filled",1.0,1.0,20,4pm EST,"gap_threshold: 1.0, gap_fill_target: 0.5",5,Low,Needs intraday or daily open/close data. Simple gap detection and mean reversion trade.
24,VWAP Reversion,Mean Reversion,Botnet101,"Enter when price deviates >2 std devs from VWAP. Exit at VWAP","Exit when price returns to VWAP",1.0,1.0,20,4pm EST,"vwap_std_threshold: 2.0",20,Low,Requires intraday data and volume. VWAP as anchor. Standard deviation bands for entry.
25,Opening Range Breakout,Breakout,Botnet101,"Enter when price breaks above/below first 30-min range. Exit at close or stop","Standardized exits",1.0,1.0,20,4pm EST,"or_duration_minutes: 30, or_breakout_pct: 0",30,Low,Classic intraday strategy. Needs 15-min or better data. Simple logic for implementation.
26,Pivot Point Reversal,Mean Reversion,Botnet101,"Enter at pivot support/resistance levels. Exit at opposite level or middle","Exit at opposite pivot or midpoint",1.0,1.0,20,4pm EST,"pivot_type: standard, pivot_lookback: 1",10,Low,Daily pivots from prior day high/low/close. Standard formulas. Requires daily OHLC.
27,3-Bar Pattern Breakout,Breakout,Botnet101,"Enter after 3 consecutive bars down, then breakout above. Exit after X bars","Standardized exits",1.0,1.0,20,4pm EST,pattern_bars: 3,10,Low,Pattern recognition. 3 down bars = setup, breakout bar = entry. Simple state machine.
28,Volume Price Confirmation,Momentum,Botnet101,"Enter when price makes new high AND volume > average. Exit when volume dries up","Exit when volume < 0.8x average",1.0,1.0,20,4pm EST,"volume_ma_length: 20, volume_threshold: 1.2, volume_exit_threshold: 0.8",30,Low,Combines price action with volume. Needs volume data. Filters weak breakouts.
29,Pairs Trading (TLT-ES),Pairs Trading,Ernie Chan,"Enter when z-score(TLT-ES spread) > 2. Exit when z-score returns to 0","Exit when z-score < 0.5",1.0,1.0,20,4pm EST,"pair_window: 20, zscore_entry: 2.0, zscore_exit: 0.5",30,High,Requires both ES and TLT data. Spread calculation and z-score. Cointegration testing recommended.
30,Kalman Filter Mean Reversion,Mean Reversion,Ernie Chan,"Enter when price deviates from Kalman predicted price. Exit at convergence","Exit when within 0.5 std dev of prediction",1.0,1.0,20,4pm EST,"kalman_delta: 0.0001, kalman_Ve: 0.001",50,Very High,Requires Kalman filter implementation. Advanced math. Adaptive to regime changes.
31,Ornstein-Uhlenbeck Mean Reversion,Mean Reversion,Ernie Chan,"Model price as OU process, enter when far from mean-reversion level. Exit at mean","Exit when price within 0.3 std dev of mean",1.0,1.0,20,4pm EST,"ou_lookback: 60, ou_entry_threshold: 1.5",90,Very High,Stochastic process modeling. Half-life calculation. Requires parameter estimation.
32,Regime Change Strategy,Regime Detection,Ernie Chan,"Detect regime changes using HMM or variance filters. Adjust strategy based on regime","Regime-dependent exits",1.0,1.0,20,4pm EST,"regime_lookback: 100, regime_method: variance",120,Very High,Hidden Markov Model or variance ratio tests. Switches between mean reversion and trend following.
33,Cointegration Arbitrage,Pairs Trading,Ernie Chan,"Find cointegrated pairs, enter when spread exceeds threshold. Exit at spread mean","Exit when spread returns to mean",1.0,1.0,20,4pm EST,"coint_window: 60, coint_threshold: 2.0",90,Very High,Requires cointegration testing (ADF/Johansen). Multi-instrument. Hedge ratio calculation.
34,High Frequency Mean Reversion,Mean Reversion,Ernie Chan,"Enter on 1-min or tick imbalances, quick mean reversion trades. Exit within minutes","Exit after 5 minutes or mean reversion",1.0,1.0,5,4pm EST,"hf_imbalance_threshold: 2.0, hf_hold_minutes: 5",10,High,Needs tick or 1-min data. Very short holding period. Sensitive to transaction costs.
35,Linear Regression Channel,Trend Following,Ernie Chan,"Fit linear regression to price, enter on breakout from channel. Exit on opposite signal","Exit when price crosses opposite channel",1.0,1.0,20,4pm EST,"lr_window: 20, lr_std_threshold: 2.0",30,Medium,Rolling linear regression. Channel = regression line ± std dev. Breakout strategy.
36,RSI(2) + 200 SMA Filter,Mean Reversion,Larry Connors,"Enter when RSI(2) < 5 AND price > SMA(200). Exit when RSI(2) > 70","Exit when RSI(2) > 70",1.0,1.0,20,4pm EST,"rsi_length: 2, rsi_oversold: 5, rsi_overbought: 70, sma_filter: 200",210,Low,Classic Connors setup. Long-term trend filter + short-term mean reversion. Very systematic.
37,Double 7s Strategy,Mean Reversion,Larry Connors,"Enter when 7-day price % rank < 5%. Exit when 7-day % rank > 95%","Exit when 7-day % rank > 95%",1.0,1.0,20,4pm EST,"percentile_window: 7, entry_pct: 5, exit_pct: 95",10,Low,Percentile rank over 7 days. Pure mean reversion on extremes. No indicators needed.
38,2-Period RSI + Moving Average,Mean Reversion,Larry Connors,"Enter RSI(2) < 10, close > MA(200), 2 consecutive down days. Exit RSI(2) > 65","Exit when RSI(2) > 65",1.0,1.0,20,4pm EST,"rsi_length: 2, rsi_oversold: 10, rsi_overbought: 65, ma_length: 200, consec_down_days: 2",210,Medium,Multiple filters: trend, momentum, and streak. More selective than simple RSI(2).
39,Cumulative RSI Strategy,Mean Reversion,Larry Connors,"Sum RSI(2) over 2 days. Enter when sum < 25. Exit when today's RSI(2) > 60","Exit when RSI(2) > 60",1.0,1.0,20,4pm EST,"rsi_length: 2, cumulative_days: 2, entry_sum: 25, exit_rsi: 60",10,Low,Adds up RSI over multiple days for more extreme signals. Still mean reversion focused.
